"Cooperative	 ",Cooperative No,License No
"Simalundu Youth Multi-purpose Co-operative Society	Limited	",420220101110,
Simatobolo Mining Crushers Multi-Purpose Cooperative Society Limited,42023014628,
"Simuzila Women in Mining Co-operative Society Limited		",42025045931,
"Simwami Small-Scales Mining Co-operative Society Limited		",42024030060,
Simwatachela Chiefdom Multi - Purpose Co-operative Society Limited,420190060615,
Sinde Mining Multi-Purpose Co-operative Society Limited,42024018057,
"Solidarity Women Mining Cooperative Society Limited		",42025045695,
Solola Multi-Purpose Co-operative Society Limited,,
"Southern Link  Mining Cooperative Society Limited		",42024024221,
"Southern Minerals Co-operative Society Limited		",42023008574,
"Stoneway Mining and Traiding Co-operative Society Limited	",42026049010,
"Tigwilizane Women Association		",ORS/102/47/18724,
"Tikhulupilila Munthaka Youths Multipurpose Co-operative Society Limited		",420210092849,
"Timely Multi-purpose Co-operative Society Limited		",420220101068,
"Top Hill Multi-Purpose Co-operative Society Limited		",420220104867,
"Tubeleke Chilobe Multipurpose Co-operative Society Limited		",42024027789,
"Tuchiyeya MPCs		",,
"Tujatane Mining Co-operative Society Limited		",42026048711,
"Tulajanika Mining Cooperative Society Limited		",42025037663,
"Tusumo Multipurpose Cooperative Society Limited		",42025035901,
"Tusuwa Multi-purpose Co-operative Society Limited		",420220101111,
"Twasika Multi-purpose Co-operative Society Limited		",4202200161,
"Twaswaangana Multi-purpose Co-operative Society Limited		",42025030807,
"Tweende Chilobe Multi-purpose Co-operative Society Limited		",42022002728,
Tweens Multi-Purpose Co-operative Society Limited,42023014040,
Ubulimi Namagodi Multi-Purpose Co-operative Society Limited,42026049132,
Unique Minds Multi-Purpose Co-operative Limited,42022002977,
"Vanoga Multi-purpose Cooperative Society		",42024025623,
"Victory  Women in Mining Co-operative Society Limited		",42025044236,
"Washaala Multi-purpose Co-operative Society Limited		",42024027742,
"Watazuma Mining Co-operative Society Limited		",42023016962,
"Western Co-operative 365 Multi-Purpose Society Limited		",42025158976,
"White Kalundu Mining Co-operative  Society Limited		",42023015348,
"Women in Farming Co-operative Society Limited		",42022002150,
"Women in Mining Gem Multi-Purpose Co-operative Society Limited		",42024024424,
"Workers Multi-purpose Cooperative Society Limited		",42023006855,
"Yatu Yatu Womens Club		",ORS/102/35/26136,
"Zambia Army		",,
"Zambian Dreams Multi-purpose Cooperative Society Limited		",420210098421,
Zamcrown youth Multi-Purpose Co-operative Limited,,
"Zumanana Multi-Purpose Co-operative Limited		",41935,
Tusekelele Agricultural Co-operative society Limited,24706,
Kennados Mining Ventures Co-operative Society Limited,38676-HQ-AMR,
KNSS VILLAGES MULTI-PURPOSE CO-OPERATIVE SOCIETY LIMITED ,,
Golyd Multi-Purpose Co-operative Society Limited,42025040444,
